t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 5.47945205479452054789E-0001  1.19890901566258983132E+0002  1.19890901566258983132E+0002  1.19890901566258983132E+0002  3.34417603259598225120E+0001  1.03675684130151541176E+0002  7.32765610035612384130E-0005  7.32765610035612384130E-0005  7.32765610035612384130E-0005  7.32902793591637476075E-0005  7.32079708841282692082E-0005
 5.75342465753424657526E-0001  1.47769008205666502506E+0002  1.47769008205666502506E+0002  1.47769008205666502506E+0002  6.10796422251453626009E+0001  1.21692308203170460337E+0002  7.32653664353850196174E-0005  7.32653664353850196174E-0005  7.32653664353850196174E-0005  7.32790823189435684168E-0005  7.31967888373521276294E-0005
 6.02739726027397260263E-0001  1.75634274958485351842E+0002  1.75634274958485351842E+0002  1.75634274958485351842E+0002  8.92357819257480285591E+0001  1.38135131101512208834E+0002  7.32579132431757415437E-0005  7.32579132431757415437E-0005  7.32579132431757415437E-0005  7.32716274834194933101E-0005  7.31893439546144378275E-0005
 6.30136986301369863000E-0001  2.03228946253778033182E+0002  2.03228946253778033182E+0002  2.03228946253778033182E+0002  1.16980755085549042560E+0002  1.54748235411268656211E+0002  7.32514266437175485487E-0005  7.32514266437175485487E-0005  7.32514266437175485487E-0005  7.32651394514458878541E-0005  7.31828646130523568942E-0005
 6.57534246575342465736E-0001  2.30756453372649215666E+0002  2.30756453372649215666E+0002  2.30756453372649215666E+0002  1.45050217859268525497E+0002  1.70054477426409340196E+0002  7.32541103592148025139E-0005  7.32541103592148025139E-0005  7.32541103592148025139E-0005  7.32678237346792455373E-0005  7.31855456001466413973E-0005
 6.84931506849315068473E-0001  2.58124925858905910014E+0002  2.58124925858905910014E+0002  2.58124925858905910014E+0002  1.73899000172355110441E+0002  1.82243884754144141833E+0002  7.32556692729585518995E-0005  7.32556692729585518995E-0005  7.32556692729585518995E-0005  7.32693829728326383574E-0005  7.31871029882240014292E-0005
 7.12328767123287671210E-0001  2.85086020810543838339E+0002  2.85086020810543838339E+0002  2.85086020810543838339E+0002  2.02242833306070870336E+0002  1.94050176951440063636E+0002  7.32606691922224611037E-0005  7.32606691922224611037E-0005  7.32606691922224611037E-0005  7.32743839735294842762E-0005  7.31920975637372136887E-0005
 7.39726027397260273947E-0001  3.11869376776150246000E+0002  3.11869376776150246000E+0002  3.11869376776150246000E+0002  2.30178968796707376962E+0002  2.06195704134441455901E+0002  7.32594600373523324294E-0005  7.32594600373523324294E-0005  7.32594600373523324294E-0005  7.32731745406535250481E-0005  7.31908898824806977404E-0005
 7.67123287671232876738E-0001  3.38492523506309215181E+0002  3.38492523506309215181E+0002  3.38492523506309215181E+0002  2.58846043992139183826E+0002  2.15354774699174911390E+0002  7.32610128141064175286E-0005  7.32610128141064175286E-0005  7.32610128141064175286E-0005  7.32747276292675050812E-0005  7.31924412637280888112E-0005
 7.94520547945205479474E-0001  4.94816410956714726075E+0000  4.94816410956714726075E+0000  4.94816410956714726075E+0000  2.87891442946918025614E+0002  2.22516764964970173032E+0002  7.32537208265046909518E-0005  7.32537208265046909518E-0005  7.32537208265046909518E-0005  7.32674340220302355526E-0005  7.31851575368054092775E-0005
 8.21917808219178082211E-0001  3.14841756143472429191E+0001  3.14841756143472429191E+0001  3.14841756143472429191E+0001  3.16498721226530125905E+0002  2.31381511471886164300E+0002  7.32466677789593492279E-0005  7.32466677789593492279E-0005  7.32466677789593492279E-0005  7.32603794066394946824E-0005  7.31781124939616620160E-0005
 8.49315068493150684948E-0001  5.80201428989079620348E+0001  5.80201428989079620348E+0001  5.80201428989079620348E+0001  3.44658351293781121616E+0002  2.41799194171607824078E+0002  7.32344138193704559619E-0005  7.32344138193704559619E-0005  7.32344138193704559619E-0005  7.32481227268886613361E-0005  7.31658724012034491898E-0005
 8.76712328767123287685E-0001  8.44187557112809664056E+0001  8.44187557112809664056E+0001  8.44187557112809664056E+0001  1.26722898433451319402E+0001  2.52224419779228228131E+0002  7.32296211876876327789E-0005  7.32296211876876327789E-0005  7.32296211876876327789E-0005  7.32433289975385840490E-0005  7.31610855652791425595E-0005
 9.04109589041095890421E-0001  1.10902332520781601831E+0002  1.10902332520781601831E+0002  1.10902332520781601831E+0002  4.05569289554556505865E+0001  2.63364793374944459681E+0002  7.32265796508243233795E-0005  7.32265796508243233795E-0005  7.32265796508243233795E-0005  7.32402867476313954521E-0005  7.31580478875571356821E-0005
 9.31506849315068493158E-0001  1.37399025021358122317E+0002  1.37399025021358122317E+0002  1.37399025021358122317E+0002  6.76083699179614627389E+0001  2.77235089452425721102E+0002  7.32341714405800811234E-0005  7.32341714405800811234E-0005  7.32341714405800811234E-0005  7.32478801484076085461E-0005  7.31656319021695267070E-0005
 9.58904109589041095895E-0001  1.63799055919442522661E+0002  1.63799055919442522661E+0002  1.63799055919442522661E+0002  9.42022380452948775373E+0001  2.92257167821705163557E+0002  7.32431452352398952439E-0005  7.32431452352398952439E-0005  7.32431452352398952439E-0005  7.32568558557350118037E-0005  7.31745964149934438914E-0005
 9.86301369863013698632E-0001  1.90322649354778037231E+0002  1.90322649354778037231E+0002  1.90322649354778037231E+0002  1.21198916192026525364E+0002  3.06572021875111972750E+0002  7.32538120758058597769E-0005  7.32538120758058597769E-0005  7.32538120758058597769E-0005  7.32675249778425920359E-0005  7.31852521355587054951E-0005
 1.01369863013698630137E+0000  2.16851362402476403435E+0002  2.16851362402476403435E+0002  2.16851362402476403435E+0002  1.48150020546807573693E+0002  3.22017785657713182745E+0002  7.32595374904198326539E-0005  7.32595374904198326539E-0005  7.32595374904198326539E-0005  7.32732516101208539106E-0005  7.31909716585742681682E-0005
 1.04109589041095890411E+0000  2.43286184931806676618E+0002  2.43286184931806676618E+0002  2.43286184931806676618E+0002  1.74601197110210771005E+0002  3.40682250922086997308E+0002  7.32599579591235745231E-0005  7.32599579591235745231E-0005  7.32599579591235745231E-0005  7.32736721479326317606E-0005  7.31913919181910455845E-0005
 1.06849315068493150684E+0000  2.69848661842079787065E+0002  2.69848661842079787065E+0002  2.69848661842079787065E+0002  2.01447223184586130834E+0002  4.12988806702594789394E+0001  7.32550611724632526196E-0005  7.32550611724632526196E-0005  7.32550611724632526196E-0005  7.32687742580673324324E-0005  7.31865008501676182919E-0005
 1.09589041095890410958E+0000  2.96432772958253365314E+0002  2.96432772958253365314E+0002  2.96432772958253365314E+0002  2.28850338853384155047E+0002  3.54301486762950157583E+0002  7.32453952306722146848E-0005  7.32453952306722146848E-0005  7.32453952306722146848E-0005  7.32591061789257506837E-0005  7.31768457538958011705E-0005
 1.12328767123287671232E+0000  3.22980497903823056682E+0002  3.22980497903823056682E+0002  3.22980497903823056682E+0002  2.56087820211223041039E+0002  1.35039252593590728023E+0001  7.32363905575372186978E-0005  7.32363905575372186978E-0005  7.32363905575372186978E-0005  7.32500995269855419082E-0005  7.31678510496933523680E-0005
 1.15068493150684931505E+0000  3.49796110394989927389E+0002  3.49796110394989927389E+0002  3.49796110394989927389E+0002  2.83281166060673340101E+0002  3.08537927370655068356E+0001  7.32321685795630278552E-0005  7.32321685795630278552E-0005  7.32321685795630278552E-0005  7.32458766043978082728E-0005  7.31636339312425265444E-0005
 1.17808219178082191779E+0000  1.67915538051234333218E+0001  1.67915538051234333218E+0001  1.67915538051234333218E+0001  3.10826459093126277189E+0002  4.74733926493109055847E+0001  7.32409791744554448624E-0005  7.32409791744554448624E-0005  7.32409791744554448624E-0005  7.32546890921648060227E-0005  7.31724352479011139130E-0005
 1.20547945205479452053E+0000  4.39357888078246450851E+0001  4.39357888078246450851E+0001  4.39357888078246450851E+0001  3.38786430140226077767E+0002  6.32601150949643383573E+0001  7.32532169015883586809E-0005  7.32532169015883586809E-0005  7.32532169015883586809E-0005  7.32669294639343336668E-0005  7.31846599190159870486E-0005
