t	F1	F2	F3	F4	F5	dF1	dF2	dF3	dF4	dF5
 6.57534246575342465736E-0001  5.12485372108400688909E+0001  5.12485372108400688909E+0001  5.12485372108400688909E+0001  3.25542307838397438624E+0002  3.50546567405538253309E+0002  7.34532126942496968726E-0005  7.34532126942496968726E-0005  7.34532126942496968726E-0005  7.34669260697141398959E-0005  7.33846479351815357560E-0005
 6.84931506849315068473E-0001  8.84107571527388265559E+0001  8.84107571527388265559E+0001  8.84107571527388265559E+0001  4.18483146618802699570E+0000  1.25297160479770583845E+0001  7.34547716079879728637E-0005  7.34547716079879728637E-0005  7.34547716079879728637E-0005  7.34684853078620593215E-0005  7.33862053232534223933E-0005
 7.12328767123287671210E-0001  1.25305956528288391011E+0002  1.25305956528288391011E+0002  1.25305956528288391011E+0002  4.24627690238154232166E+0001  3.42701126691846165162E+0001  7.34597715272368454264E-0005  7.34597715272368454264E-0005  7.34597715272368454264E-0005  7.34734863085438685989E-0005  7.33911998987515980114E-0005
 7.39726027397260273947E-0001  1.61926531578533853303E+0002  1.61926531578533853303E+0002  1.61926531578533853303E+0002  8.02361235990909842583E+0001  5.62528589368250631908E+0001  7.34585623723693397882E-0005  7.34585623723693397882E-0005  7.34585623723693397882E-0005  7.34722768756705324069E-0005  7.33899922174977050992E-0005
 7.67123287671232876738E-0001  1.98349445488096179813E+0002  1.98349445488096179813E+0002  1.98349445488096179813E+0002  1.18702965973926148457E+0002  7.52116966809618760145E+0001  7.34601151491172794847E-0005  7.34601151491172794847E-0005  7.34601151491172794847E-0005  7.34738299642783670373E-0005  7.33915435987389507672E-0005
 7.94520547945205479474E-0001  2.34737584294604182136E+0002  2.34737584294604182136E+0002  2.34737584294604182136E+0002  1.57680856991017000576E+0002  9.23061790090691479949E+0001  7.34528231615348703611E-0005  7.34528231615348703611E-0005  7.34528231615348703611E-0005  7.34665363570604149619E-0005  7.33842598718355886868E-0005
 8.21917808219178082211E-0001  2.71106350200684512897E+0002  2.71106350200684512897E+0002  2.71106350200684512897E+0002  1.96120889671929335987E+0002  1.11003679917285374382E+0002  7.34457701140081303741E-0005  7.34457701140081303741E-0005  7.34457701140081303741E-0005  7.34594817416882758286E-0005  7.33772148290104431622E-0005
 8.49315068493150684948E-0001  3.07448982582364183119E+0002  3.07448982582364183119E+0002  3.07448982582364183119E+0002  2.34087184836299282781E+0002  1.31228027714125985242E+0002  7.34335161544517811661E-0005  7.34335161544517811661E-0005  7.34335161544517811661E-0005  7.34472250619699865403E-0005  7.33649747362847743940E-0005
 8.76712328767123287685E-0001  3.43778386985106457208E+0002  3.43778386985106457208E+0002  3.43778386985106457208E+0002  2.72031921117170622737E+0002  1.51584044912115659037E+0002  7.34287235227796031424E-0005  7.34287235227796031424E-0005  7.34287235227796031424E-0005  7.34424313326305544125E-0005  7.33601879003711129231E-0005
 9.04109589041095890421E-0001  2.00888105658324825405E+0001  2.00888105658324825405E+0001  2.00888105658324825405E+0001  3.09743413141444591197E+0002  1.72551271419995340392E+0002  7.34256819859220365007E-0005  7.34256819859220365007E-0005  7.34256819859220365007E-0005  7.34393890827291085733E-0005  7.33571502226548488033E-0005
 9.31506849315068493158E-0001  5.63995679716256760362E+0001  5.63995679716256760362E+0001  5.63995679716256760362E+0001  3.46608919009167076364E+0002  1.96235632402693274845E+0002  7.34332737756530704117E-0005  7.34332737756530704117E-0005  7.34332737756530704117E-0005  7.34469824834805978344E-0005  7.33647342372425159953E-0005
 9.58904109589041095895E-0001  9.27293049492308953871E+0001  9.27293049492308953871E+0001  9.27293049492308953871E+0001  2.31324870750832502619E+0001  2.21187416851493536291E+0002  7.34422475702841724711E-0005  7.34422475702841724711E-0005  7.34422475702841724711E-0005  7.34559581907792890309E-0005  7.33736987500377211185E-0005
